id,transcription,gpt_answer,gpt_normalized_answer,ground_truth
0,"Persian, P-D-R-Z-N, S-I-N, also known by its endonym Farsi, Farsi-Farsi, F-A-R-Z-I, listen, is one of the Western Iranian languages within the Indo-Iranian branch of the Indo-European language family. It is primarily spoken in Iran, Afghanistan, officially known as Dari since 1958, and Tajikistan, officially known as Tajiki since the Soviet era, and some other regions which historically were Persianate societies and considered part of Greater Iran. It is written in the Persian alphabet, a modified variant of the Arabic script which itself evolved from the Aramaic alphabet. Do Iran and Afghanistan speak the same language?",True.,True,true
1,"Good Samaritan laws offer legal protection to people who give reasonable assistance to those who are, or who they believe to be, injured, ill, in peril, or otherwise incapacitated. The protection is intended to reduce bystanders' hesitation to assist, for fear of being sued or prosecuted for unintentional injury or wrongful death. An example of such a law in common law areas of Canada, a Good Samaritan doctrine is a legal principle that prevents a rescuer who has voluntarily helped a victim in distress from being successfully sued for wrongdoing. Its purpose is to keep people from being reluctant to help a stranger in need for fear of legal repercussions should they make some mistake in treatment. By contrast, a duty to rescue law requires people to offer assistance and holds those who fail to do so liable. Do Good Samaritan laws protect those who help at an accident?",True,True,true
2,"Windows Movie Maker, formerly known as Windows Live Movie Maker and Windows 7, is a discontinued video editing software by Microsoft. It is a part of Windows Essentials software suite and offers the ability to create and edit videos as well as to publish them on OneDrive, Facebook, Vimeo, YouTube, and Flickr. Is Windows Movie Maker part of Windows Essentials?",True,True,true
3,"Powdered sugar, also called confectioner's sugar, icing sugar, and icing cake, is a finely ground sugar produced by milling granulated sugar into a powdered state. It usually contains a small amount of anti-caking agent to prevent clumping and improve flow. Although most often produced in a factory, powdered sugar can also be made by processing ordinary granulated sugar in a coffee grinder or by crushing it by hand in a mortar and pestle. Is confectionery sugar the same as powdered sugar?",True,True,true
4,"As with other games in the Elder Scrolls series, the game is set on the continent of Tamriel. The events of the game occur a millennium before those of The Elder Scrolls V, Skyrim and around 800 years before The Elder Scrolls III, Morrowind and The Elder Scrolls IV, Oblivion. It has a broadly similar structure to Skyrim, with two separate conflicts progressing at the same time, one with the fate of the world in the balance and one where the prize is supreme power on Tamriel. In The Elder Scrolls Online, the first struggle is against the Daedric Prince Molag Bal, who is attempting to meld the plane of Mundus with his realm of Coldharbour and the second is to capture the vacant Imperial Throne, contested by three alliances of the mortal races. The player character has been sacrificed to Molag Bal and Molag Bal has stolen their soul, the recovery of which is the primary game objective. Is Elder Scrolls Online the same as Skyrim?",False,False,false
5,"Epsom Railway Station serves the town of Epsom in Surrey. It is located off Waterloo Road and is less than two minutes walk from the High Street. It is not in the London Oyster Card Zone, unlike Epsom Downs or Tatinum Corner stations. The station building was replaced in 2012-2013 with a new building with apartments above the station. See end of article. Can you use Oyster Card at Epsom Station?",False,False,false
6,"The series premiered in the United States on Starz on 12th April 2013 and its second season premiered on 22nd March 2014. The series was renewed for a third season which premiered on 24 October 2015. On 23rd of July 2015, Starz announced that the third season would be the show's last. However, Goyer has left it open for a miniseries return. Will there be a season 4 of Da Vinci's Demons?",False,False,false
7,"The federal courts are composed of three levels of courts. The Supreme Court of the United States is the court of last resort. It is generally an appellate court that operates under discretionary review, which means that the court can choose which cases to hear by granting writs of certiorari. There is therefore generally no basic right of appeal that extends automatically all the way to the Supreme Court. In a few situations, like lawsuits between state governments or some cases between the federal government and a state, it sits as a court of original jurisdiction. Is the federal court the same as the Supreme Court?",False,False,false
8,"In the 1998 war film Saving Private Ryan, General George Marshall, played by Harve Presnell, reads the Bixby letter to his officers before giving the order to find and send home Private James Francis Ryan after Ryan's three brothers died in battle. Did Abraham Lincoln write the letter in Saving Private Ryan?",True,True,true
9,"With the box office success of Batman Forever in June 1995, Warner Brothersers immediately commissioned a sequel. They hired director Joel Schumacher and writer Akiva Goldsman to reprise their duties the following August and decided it was best to fast track production for a June 1997 Target release date, which is a break from the usual three-year gap between films. Schumacher wanted to homage both the Broadcamp style of the 1960s television series and the work of Dick Sprang. The storyline of Batman and Robin was conceived by Schumacher and Goldsman during pre-production on A Time to Kill. Portions of Mr. Freeze's backstory were based on The Batman, the animated series episode Heart of Ice, written by Paul Dini. Is Batman and Robin a sequel to Batman Forever?",True,True,true
10,"Badgers are short-legged omnivores in the family Mustelidae, which also includes the otters, polecats, weasels, and wolverines. They belong to the caniform suborder of carnivoran mammals. The 11 species of badgers are grouped in three subfamilies, Malini, Eurasian badgers, Melivarini, the honey badger or ratel, and Taxidani, the American badger. The Asiatic stink badgers of the genus Mydias were formerly included within Malini, and thus Mustelidae. But recent genetic evidence indicates these are actually members of the skunk family, placing them in the taxonomic family Mephitidae. Is a wolverine the same as a badger?",False,False,false
11,"Green Lantern was released on June 17, 2011 and received generally negative reviews. Most criticized the film for its screenplay, inconsistent tone, choice and portrayal of villains and its use of CGI, while some praised Reynolds's performance. Reynolds would later voice his dissatisfaction with the film. The film underperformed at the box office, grossing $219 million against a production budget of $200 million. Due to the film's negative reception and disappointing box office performance, Warner Bros. canceled any plans for a sequel, instead opting to reboot the character in the DC Extended Universe line with the film Green Lantern Corps, set for release in 2020.",True,True,false
12,"The United States should have the chance to observe and assess the functioning of the court over time before choosing to become subject to its jurisdiction. Given these concerns, I will not and do not recommend that my successor submit the treaty to the Senate for advice and consent until our fundamental concerns are satisfied. Does the ICC has jurisdiction in the United States?",False,False,false
13,"Calcium carbide is a chemical compound with the chemical formula of KAC. Its main use industrially is in the production of acetylene and calcium cyanamide. Calcium carbide KAC2 is the raw material for the production of acetylene".,False,False,true
14,"Now You See Me is a series of heist thriller film written by Ed Solomon, Boaz Yakan, and Edward Ricour. They focus on the actions of a team of illusionists named the Four Horsemen who pull off near-impossible heists. The series features an ensemble cast including Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher, Dave Franco, Michael Caine, Lizzie Kaplan, and Morgan Freeman. The first film was released in 2013 while the second was released in 2016 and a third film is currently in development and set to be released in 2019. The series has received mixed reviews from critics and audiences and grossed nearly 700 million worldwide. Is there a Now You See Me 3 coming out?",True,True,true
15,"A shootout is usually considered, for statistical purposes, to be separate from the match which preceded it. In the case of a two-legged fixture, the two matches are still considered either as two draws or as one win and one loss. In the case of a single match, it is still considered as a draw. This contrasts with a fixture won in extra time, where the score at the end of normal time is superseded. Converted shootout penalties are not considered as goals scored by a player for the purposes of their individual records or for golden boot competitions. Does a penalty shootout goal count towards the golden boot?",False,False,false
