id,transcription,gpt_answer,gpt_normalized_answer,ground_truth
0,"Persian, which is also called Farsi, is one of the Western Iranian languages that belongs to the Indo-Iranian branch of the Indo-European language family. It is mainly spoken in Iran, Afghanistan, where it's officially known as Dari since 1958, and Tajikistan, where it's referred to as Tajiki since the time of the Soviet Union, along with some other areas that were historically Persianate societies and are considered part of Greater Iran. The language is written in the Persian script, which is a modified version of the Arabic script and this script itself has its roots in the Aramaic alphabet. Do Iran and Afghanistan speak the same language?",True,True,true
1,"Good Samaritan laws provide legal protection to individuals who offer reasonable help to anyone they think is injured, unwell, in danger or otherwise unable to help themselves. The aim of these laws is to encourage bystanders to step in and assist without worrying about being sued or facing legal action for any accidental harm or wrongful death. For instance, in Common Law Regions of Canada, the Good Samaritan doctrine is a legal principle that shields a rescuer who voluntarily aids someone in distress from being successfully sued for any wrongdoing. The idea is to ensure that people don't hesitate to help a stranger in need out of fear of facing legal consequences if they make a mistake while providing assistance. On the other hand, a duty to rescue law mandates that individuals must offer help and holds those who don't accountable. Do Good Samaritan laws protect those who help in an accident?",True,True,true
2,"Windows Movie Maker, which used to be called Windows Live Movie Maker in Windows 7, is a video editing software from Microsoft that is no longer in use. It is included in the Windows Essentials software suite and allows you to create and edit videos, as well as share them on platforms like OneDrive, Facebook, Vimeo, YouTube, and Flickr. Is Windows Movie Maker a part of Windows Essentials?",True,True,true
3,"Powdered sugar, which is also known as confectioner's sugar icing sugar or icing sugar for cakes, is basically granulated sugar that has been ground down to a fine powder. It usually has a bit of anti-caking agent mixed in to stop it from clumping and to help it flow better. While it's mostly made in factories, you can also make powdered sugar at home by grinding regular granulated sugar in a coffee grinder or by crushing it manually using a mortar and pestle. Is confectioner's sugar the same as powdered sugar?",True,True,true
4,"Like the other games in the Elder Scrolls series, this game is set in the continent of Tamriel. The events take place a thousand years before the Elder Scrolls V, Skyrim and about 800 years before the Elder Scrolls III, Morrowind and the Elder Scrolls IV, Oblivion. It has a similar structure to Skyrim, featuring two separate conflicts happening simultaneously. One that determines the fate of the world and another where the goal is to gain supreme power over Tamriel. In the Elder Scrolls Online, the first conflict is against the Daedric Prince Molag Bal, who is trying to merge the plane of Mundus with his realm of Coldharbour. The second conflict involves capturing the vacant Imperial throne, which is being fought over by three alliances of the mortal races. The player character has been sacrificed to Molag Bal, who has taken their soul and recovering it is the main objective of the game. Is Elder Scrolls Online the same as Skyrim?",False,False,false
5,"Epsom Railway Station caters to the town of Epsom in Surrey. It's situated just off Waterloo Road and is hardly a 2-minute walk from the High Street. Unlike Epsom Downs or Tatternham Corner stations, it's not within the London Oyster Card Zone. The station building was revamped in 2012-2013 and now there's a new structure with apartments on top of the station. Do check the end of the article for more details. Can you use an Oyster Card at Epsom Station?",False,False,false
6,"The series started airing in the US on Starz on 12th of April 2013 and the second season came out on 22nd March 2014. They renewed it for a third season which premiered on 24th October 2015. But on 23rd July 2015, Starz announced that the third season would be the final one. However, Goyer has hinted that there might be a chance for a miniseries comeback. Will there be a season 4 of Da Vinci's Demons?",False.,False,false
7,"The federal courts are made up of three levels of courts. The Supreme Court of the United States is the highest court, where you go when all other options are exhausted. It mainly functions as an appellate court, which means it has the discretion to decide which cases it wants to hear by granting writs of category. So there isn't really a guaranteed right to appeal that automatically goes all the way to the Supreme Court. In certain situations, like cases between state governments or some matters involving the federal government and a state, it acts as a court of original jurisdiction. Is the federal court same as the Supreme Court?",False,False,false
8,"In the 1998 war film, Saving Private Ryan, General George Marshall, played by Harv Presnell, reads out the Bixby letter to his officers before he gives the order to find and send back Private James Francis Ryan, after Ryan's three brothers were killed in battle. Did Abraham Lincoln write the letter in Saving Private Ryan?",True,True,true
9,"After the success of Batman Forever at the box office in June 1995, Warner Brothers quickly decided to make a sequel. They brought back director Joel Schumacher and writer Akiva Goldsman in August of the same year, and they thought it would be best to speed up the production for a release in June 1997, which is quite different from the usual three-year gap between films. Schumacher wanted to pay tribute to both the fun, campy style of the 1960s television series and the artwork of Dick Sprang. The story for Batman and Robin was developed by Schumacher and Goldsman while they were working on A Time to Kill. Some parts of Mr. Freeze's backstory were inspired by the Batman, the animated series episode Heart of Ice, which was written by Paul Dini. Is Batman and Robin a sequel to Batman Forever?",True,True,true
